KnownFusions
ACTG2--ALK
ALK--GALNT14
ALK--RNPC3
ALK--RPA1
ALK--SCEL
ALK--STK39
C2orf61--ALK
CDK2--ALK
DCTN1--ALK
DDX6--ALK
EML4--ALK
GALM--ALK
GTF2IRD1--ALK
KCNQ5--ALK
KIF5B--ALK
KLC1--ALK
MALAT1--ALK
MSN--ALK
NCOA1--ALK
NPM1--ALK
PPFIBP1--ALK
RAB5B--ALK
SMEK2--ALK
SQSTM1--ALK
STRN--ALK
TPM1--ALK
TPM3--ALK
HIP1--ALK
LTBP1--ALK
ARID2--ALK
ALK--SSH2
CLIP1--ALK
KIAA1217--ALK
PPP1R21--ALK
CENPF--ALK
MAPRE3--ALK
PRKAR1B--ALK
C2orf44--ALK
CAD--ALK
C6orf204--ROS1
CD74--ROS1
CEP85L--ROS1
CLTC--ROS1
EZR--ROS1
ROS1--CD74
ROS1--CLTC
SLC34A2--ROS1
ROS1--TPM3
ROS1--SDC4
ROS1--MSN
ROS1--TFG
ROS1--GOPC
ROS1--CCDC6
ROS1--LRIG3
ROS1--YWHAE
AFAP1--RET
AKAP13--RET
CCDC6--RET
CUX1--RET
DLG5--RET
ERC1--RET
FKBP15--RET
HOOK3--RET
NCOA4--RET
PARG--RET
PCM1--RET
PRKAR1A--RET
RET--ANK3
RET--CCDC6
RET--FGFR3
RET--LINC00578
RET--LINC00948
RET--NCOA4
SPECC1L--RET
TBL1XR1--RET
TRIM27--RET
TRIM33--RET
RET--TFG
RET--KIF5B
RET--ACBD5
RET--RASAL2
RET--SQSTM1
RET--RUFY2
RET--TPR
RET--IKBKG
BAIAP2L1--MET
BAZ1B--MET
C8orf34--MET
CAPZA2--MET
KIF5B--MET
LAMA3--MET
MET--C8orf34
MET--CAPZA2
MET--CAV1
MET--CFTR
MET--CNTNAP5
MET--DYNC1I1
MET--FAM3C
MET--TES
MET--TFG
MET--WNT2
MIR548F1--MET
OXR1--MET
PTPRZ1--MET
ST7--MET
TES--MET
TFG--MET
CD74--MET
CCDC6--MET
CD47--MET
EPHB4--MET
ARHGEF25--NTRK1
BCAN--NTRK1
CD74--NTRK1
CEL--NTRK1
EPHB2--NTRK1
IRF2BP2--NTRK1
KRTCAP2--NTRK1
LMNA--NTRK1
MIR548F1--NTRK1
MPRIP--NTRK1
NFASC--NTRK1
NTRK1--DYNC2H1
PRCC--NTRK1
RPL7A--NTRK1
SQSTM1--NTRK1
SSBP2--NTRK1
TFG--NTRK1
TPM3--NTRK1
TPM4--NTRK1
NTRK1--PPL
NTRK1--TPR
NCOR2--NTRK1
NTRK1--TP53
ABL1--NTRK2
AFAP1--NTRK2
FRMD3--NTRK2
NTRK2--AFAP1
NTRK2--CLU
NTRK2--IGH
NTRK2--IGHG3
NTRK2--LAP3
NTRK2--NTRK2
NTRK2--RASEF
NTRK2--S1PR3
PAN3--NTRK2
SQSTM1--NTRK2
TRIM24--NTRK2
ETV6--NTRK2
QKI--NTRK2
NACC2--NTRK2
AKAP13--NTRK3
COX5A--NTRK3
EML4--NTRK3
ETV6--NTRK3
FAT1--NTRK3
LYN--NTRK3
NTRK3--ACTR8
NTRK3--CAMTA1
NTRK3--ETV6
NTRK3--NTRK3
NTRK3--RBPMS
NTRK3--SLC8B1
RBPMS--NTRK3
SPTAN1--NTRK3
VPS18--NTRK3
HNRNPA2B1--NTRK3
UBE2R2--NTRK3
BTBD1--NTRK3
BAG4--FGFR1
BCR--FGFR1
COL1A1--FGFR1
ERLIN2--FGFR1
FGFR1--ADAM18
FGFR1--CSMD1
FGFR1--FGFR1
FGFR1--GPR124
FGFR1--IGHG1
FGFR1--PLAG1
FGFR1--RAD23A
FGFR1--SLC20A2
FGFR1--TACC1
FGFR1--WNK1
KAT6B--FGFR1
MTERFD2--FGFR1
RHOT1--FGFR1
WHSC1L1--FGFR1
ZNF791--FGFR1
ATE1--FGFR2
BICC1--FGFR2
CCAR2--FGFR2
CTBP2--FGFR2
FGFR2--AP1M1
FGFR2--ATE1
FGFR2--BICC1
FGFR2--C10orf118
FGFR2--CCAR2
FGFR2--CCDC186
FGFR2--CCDC6
FGFR2--ENPP2
FGFR2--FGFR2
FGFR2--FRK
FGFR2--GLB1L2
FGFR2--KIAA1598
FGFR2--KIAA1967
FGFR2--OFD1
FGFR2--SHTN1
FGFR2--SMN1
FGFR2--SMN2
FGFR2--TACC2
FGFR2--USP10
KIAA1967--FGFR2
KLK2--FGFR2
VCL--FGFR2
CTBP1--FGFR3
FGFR3--AES
FGFR3--ELAVL3
FGFR3--FBXO28
FGFR3--MLLT10
FGFR3--OSBPL1A
FGFR3--TACC3
FGFR3--TPRG1
THBS1--NRG1
SMAD4--NRG1
NCOA2--NRG1
WRN--NRG1
SDC4--NRG1
TENM4--NRG1
CD74--NRG1
CD74--NRG2
